序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
4858,002523,天桥起重,2.65,-2.93,-0.08,141345.0,38050433.49,3.66,2.75,2.65,2.75,2.73,1.11,1.0,-600.46,1.71,3754098120.0,3735529732.0,-0.38,-0.38,-5.02,-12.83
4859,002066,瑞泰科技,10.93,-2.93,-0.33,37168.0,41105114.34,3.73,11.32,10.9,11.27,11.26,1.54,1.61,39.1,3.85,2524830000.0,2524830000.0,0.0,-0.09,-3.02,-1.35
4860,600327,大东方,5.63,-2.93,-0.17,707179.0,399680269.0,4.66,5.82,5.55,5.66,5.8,0.78,7.99,28.5,1.54,4981308686.0,4981308686.0,0.0,0.18,20.56,16.8
4861,000965,天保基建,3.31,-2.93,-0.1,192240.0,64387284.66,3.52,3.42,3.3,3.41,3.41,1.44,1.73,-25.22,0.69,3673540262.0,3673540262.0,0.0,0.0,-16.62,-29.42
4862,300018,中元股份,5.95,-2.94,-0.18,81570.0,49053898.0,3.92,6.16,5.92,6.13,6.13,1.43,2.02,46.45,2.36,2860947639.0,2404380208.0,-0.34,-0.17,-3.88,-1.33
4863,603886,元祖股份,17.82,-2.94,-0.54,20063.0,36321209.0,3.0,18.37,17.82,18.21,18.36,1.11,0.84,10.63,2.54,4276800000.0,4276800000.0,-1.0,-1.11,-6.41,-4.3
4864,600073,上海梅林,6.93,-2.94,-0.21,166158.0,116734498.0,3.08,7.15,6.93,7.15,7.14,1.08,1.77,15.31,1.31,6498465241.0,6498465241.0,0.0,0.0,-8.58,-11.04
4865,603081,大丰实业,10.88,-2.94,-0.33,38414.0,42258530.0,3.66,11.28,10.87,11.21,11.21,1.51,0.95,26.93,1.59,4456748005.0,4395123685.0,-0.09,0.0,-30.03,-11.62
4866,688648,中邮科技,27.67,-2.95,-0.84,43723.0,122333989.0,3.16,28.51,27.61,28.51,28.51,0.73,15.2,135.93,2.25,3763120000.0,795792216.0,0.0,-0.11,82.28,82.28
4867,002862,实丰文化,16.46,-2.95,-0.5,26173.0,43506676.1,4.01,16.99,16.31,16.94,16.96,1.75,2.9,-139.31,4.26,1975200000.0,1484314786.0,-0.06,-0.06,-3.8,12.2
4868,603900,莱绅通灵,6.57,-2.95,-0.2,34285.0,22724756.0,3.99,6.81,6.54,6.75,6.77,1.21,1.01,-88.19,1.04,2267463629.0,2236913129.0,0.15,0.46,2.02,2.18
4869,002827,高争民爆,16.75,-2.95,-0.51,62827.0,106931424.5,3.59,17.36,16.74,17.29,17.26,1.09,2.28,41.74,5.71,4623000000.0,4622981156.0,-0.06,-0.59,50.63,81.28
4870,000736,中交地产,10.18,-2.96,-0.31,130598.0,134227919.43,3.24,10.52,10.18,10.41,10.49,1.03,1.88,-5.15,3.14,7079514954.0,7079514954.0,0.0,-0.2,-25.09,-43.13
4871,600060,海信视像,22.33,-2.96,-0.68,77046.0,174373840.0,3.17,23.06,22.33,22.94,23.01,2.39,0.6,13.45,1.58,29199874117.0,28785183687.0,-0.49,-0.4,7.36,73.1
4872,002084,海鸥住工,3.94,-2.96,-0.12,103323.0,41388514.59,3.94,4.1,3.94,4.09,4.06,1.69,1.6,232.39,1.36,2564387017.0,2550289898.0,-0.25,-0.25,-8.16,-11.26
4873,603898,好莱客,10.82,-2.96,-0.33,22062.0,24032538.0,3.41,11.17,10.79,11.14,11.15,1.74,0.71,14.18,1.16,3368085977.0,3368085977.0,0.09,0.19,-1.9,2.08
4874,002344,海宁皮城,4.26,-2.96,-0.13,162689.0,70098078.9,3.19,4.39,4.25,4.39,4.39,1.52,1.27,30.53,0.66,5463948250.0,5457986942.0,-0.23,0.0,-3.4,-8.39
4875,002355,兴民智通,5.87,-2.98,-0.18,631959.0,375648952.05,6.78,6.23,5.82,6.03,6.05,0.62,10.24,-15.32,3.0,3642748248.0,3622768236.0,0.0,-0.17,-12.39,41.11
4876,600538,国发股份,4.56,-2.98,-0.14,92409.0,42584902.0,3.4,4.71,4.55,4.68,4.7,1.34,1.76,-113.99,2.55,2390344467.0,2390344467.0,0.0,0.0,3.4,0.88
4877,002076,星光股份,2.28,-2.98,-0.07,129735.0,29863326.0,3.83,2.36,2.27,2.36,2.35,0.93,1.25,-267.8,7.8,2528803839.0,2363539503.0,-0.44,0.0,-5.79,-6.17
4878,603079,圣达生物,13.67,-2.98,-0.42,15037.0,20776141.0,4.26,14.24,13.64,14.11,14.09,1.05,0.88,-475.93,1.79,2340153056.0,2340153056.0,0.07,-0.22,8.41,9.45
4879,301237,和顺科技,29.94,-2.98,-0.92,5313.0,16108434.22,4.6,31.36,29.94,30.87,30.86,0.96,1.36,89.56,1.66,2395200000.0,1168408500.0,-0.03,-0.13,-0.7,4.94
4880,301049,超越科技,22.78,-2.98,-0.7,11177.0,25893668.0,4.51,23.82,22.76,23.58,23.48,1.41,4.35,-27.92,2.64,2147090949.0,585082295.0,0.0,-0.09,-7.62,8.12
4881,600753,庚星股份,11.06,-2.98,-0.34,80175.0,89614604.0,3.95,11.45,11.0,11.38,11.4,0.74,3.73,-58.79,10.03,2547197356.0,2378342400.0,-0.18,0.0,-1.43,-21.5
4882,002682,龙洲股份,5.53,-2.98,-0.17,334616.0,187133566.71,4.21,5.75,5.51,5.74,5.7,0.81,5.95,-19.55,1.79,3109898325.0,3109851873.0,0.0,0.0,34.88,13.79
4883,600527,江南高纤,1.95,-2.99,-0.06,171894.0,33821501.0,3.48,2.01,1.94,2.0,2.01,1.81,0.99,70.85,1.53,3376933759.0,3376933759.0,0.0,0.0,-3.47,-1.02
4884,002306,中科云网,3.9,-2.99,-0.12,104653.0,41389993.56,3.23,4.03,3.9,4.03,4.02,1.3,1.29,-23.34,647.82,3392073750.0,3171831534.0,0.0,-0.51,-2.26,-26.55
4885,301381,赛维时代,32.15,-2.99,-0.99,43480.0,139938766.45,3.41,32.96,31.83,32.89,33.14,0.95,13.84,43.35,5.59,12863215000.0,1009861721.0,0.47,0.47,-3.31,59.16
4886,300359,全通教育,6.17,-2.99,-0.19,166428.0,103527100.44,3.46,6.35,6.13,6.34,6.36,0.56,2.63,1622.52,5.54,3907667214.0,3907320151.0,0.16,0.16,1.98,-19.97
4887,688585,上纬新材,8.11,-2.99,-0.25,15936.0,13091409.0,5.5,8.49,8.03,8.49,8.36,1.45,0.4,39.4,2.74,3270519757.0,3270519757.0,0.12,0.5,-1.46,1.5
4888,002882,金龙羽,14.92,-2.99,-0.46,108032.0,162315418.0,3.77,15.46,14.88,15.38,15.38,0.81,4.38,27.73,3.07,6458868000.0,3678153000.0,0.07,0.13,10.6,37.89
4889,605180,华生科技,13.62,-2.99,-0.42,22723.0,31332185.0,4.63,14.22,13.57,14.1,14.04,1.41,4.68,62.2,2.08,2301780000.0,661761750.0,0.0,-0.07,1.41,14.94
4890,600336,澳柯玛,5.51,-2.99,-0.17,143477.0,80103547.0,3.7,5.71,5.5,5.69,5.68,0.68,1.8,30.43,1.74,4397061377.0,4397061377.0,0.0,0.0,0.0,2.42
4891,600862,中航高科,21.37,-3.0,-0.66,95785.0,205944558.0,4.04,22.0,21.11,21.95,22.03,2.23,0.69,26.44,4.92,29769459417.0,29769459417.0,-0.09,-0.05,-15.3,-3.43
4892,688038,中科通达,14.89,-3.0,-0.46,68752.0,105300272.0,6.84,15.9,14.85,15.45,15.35,1.09,8.44,-67.53,2.47,1732799926.0,1212226914.0,0.0,0.2,6.97,25.23
4893,605500,森林包装,7.76,-3.0,-0.24,18638.0,14627470.0,3.75,8.04,7.74,7.96,8.0,0.89,1.75,25.61,1.34,3215744000.0,828054080.0,0.26,0.0,1.04,10.07
4894,000010,美丽生态,3.23,-3.0,-0.1,229399.0,74946373.04,3.9,3.36,3.23,3.35,3.33,1.31,4.39,-17.26,5.45,3713376903.0,1686613939.0,0.0,-0.31,12.54,-13.87
4895,605005,合兴股份,17.76,-3.0,-0.55,68349.0,123273993.0,4.97,18.6,17.69,18.35,18.31,0.65,13.33,33.56,4.21,7121760000.0,910520586.0,0.11,0.23,6.09,18.16
4896,002863,今飞凯达,6.13,-3.01,-0.19,143001.0,88988074.52,4.91,6.43,6.12,6.34,6.32,1.15,2.87,39.78,1.44,3058058370.0,3058058370.0,0.0,-0.16,6.42,14.15
4897,000715,中兴商业,7.74,-3.01,-0.24,106837.0,83627505.92,4.26,8.07,7.73,8.07,7.98,1.46,2.57,30.18,1.77,3217664596.0,3212560484.0,0.0,-0.13,-2.03,-13.23
4898,688067,爱威科技,23.19,-3.01,-0.72,14169.0,33435111.0,5.31,24.27,23.0,23.97,23.91,1.73,3.45,49.07,3.2,1576920000.0,951187523.0,0.48,0.3,3.07,24.48
4899,600192,长城电工,5.47,-3.01,-0.17,99070.0,55077127.0,4.08,5.68,5.45,5.63,5.64,1.59,2.24,-34.89,1.6,2416361560.0,2416361560.0,0.37,0.0,-0.36,-4.2
4900,002656,ST摩登,1.93,-3.02,-0.06,27387.0,5346696.0,4.52,2.0,1.91,2.0,1.99,1.16,0.45,-18.7,3.01,1375163299.0,1176253081.0,0.0,0.0,-6.31,-25.77
4901,301209,联合化学,24.4,-3.02,-0.76,10899.0,27030495.96,4.21,25.46,24.4,25.29,25.16,1.22,4.45,60.7,2.88,1952000000.0,597800000.0,-0.45,-0.29,-7.26,8.16
4902,688573,信宇人,28.55,-3.02,-0.89,16910.0,48684810.0,4.01,29.6,28.42,29.22,29.44,0.95,8.66,-992.68,3.19,2790887777.0,557362265.0,-0.24,-0.59,-23.62,20.57
