序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,301516,N中远通,28.6,316.3,21.73,483749.0,1540148632.73,127.51,36.76,28.0,30.3,6.87,,78.19,99.08,5.47,8028070193.0,1769505852.0,-0.45,-1.52,316.3,316.3
2,837821,则成电子,16.77,30.0,3.87,81566.0,127048570.45,29.77,16.77,12.93,13.36,12.9,3.29,44.67,47.17,2.38,1183841357.0,306238530.0,0.0,0.0,102.29,101.32
3,430564,天润科技,15.0,29.98,3.46,63857.0,95461030.43,8.67,15.0,14.0,15.0,11.54,1.88,31.62,-100.23,3.67,1108575270.0,302934525.0,0.0,0.0,158.18,142.33
4,832802,保丽洁,13.84,29.95,3.19,85498.0,116492429.39,14.46,13.84,12.3,13.13,10.65,3.37,53.29,55.32,2.15,873072872.0,222066952.0,0.0,0.0,120.03,4.77
5,832145,恒合股份,8.64,29.92,1.99,40677.0,35145083.52,0.0,8.64,8.64,8.64,6.65,1.98,9.07,-56.22,2.2,609552000.0,387307440.0,0.0,0.0,84.22,77.05
6,300742,*ST越博,6.53,20.04,1.09,333870.0,207849724.52,20.77,6.53,5.4,5.43,5.44,3.26,28.99,-5.38,-4.23,922672192.0,752051729.0,0.0,0.0,14.36,-35.35
7,688195,腾景科技,40.26,20.0,6.71,161234.0,610039502.0,15.56,40.26,35.04,35.04,33.55,2.82,19.7,125.24,5.84,5207631000.0,3294878400.0,0.0,0.0,5.7,77.2
8,832876,慧为智能,13.5,18.11,2.07,69861.0,93855504.95,27.56,14.85,11.7,11.7,11.43,2.44,32.91,79.8,3.41,866438897.0,286617920.0,0.0,-0.52,87.5,110.61
9,300394,天孚通信,98.15,17.84,14.86,372411.0,3461376230.55,19.25,99.95,83.92,83.95,83.29,1.83,10.3,66.2,13.41,38758137163.0,35482680565.0,-1.68,-1.79,28.81,294.97
10,300548,博创科技,31.88,17.12,4.66,574354.0,1760579653.28,15.72,32.66,28.38,28.5,27.22,4.97,25.1,55.99,4.19,9119100828.0,7296255476.0,-0.06,-0.38,10.39,91.24
11,300456,赛微电子,24.42,15.79,3.33,804876.0,1898369481.24,18.82,25.08,21.11,21.11,21.09,6.74,13.78,1096.08,3.59,17912000012.0,14262161562.0,-0.33,0.08,7.01,65.22
12,872374,云里物里,12.74,14.47,1.61,69707.0,87941790.32,28.03,14.16,11.04,11.43,11.13,2.44,23.01,35.76,4.18,1038539320.0,385948133.0,-0.47,-1.01,60.25,45.77
13,688498,源杰科技,181.63,14.32,22.75,43556.0,753786392.0,17.33,186.0,158.47,158.49,158.88,2.19,21.5,538.84,7.27,15409234918.0,3679564069.0,-0.01,0.87,19.02,113.91
14,301383,天键股份,47.62,14.31,5.96,89981.0,416086919.8,15.15,48.49,42.18,42.6,41.66,6.76,32.65,37.84,3.01,5535348800.0,1312458725.0,0.0,-0.23,22.54,3.16
15,835508,殷图网联,12.85,12.82,1.46,47959.0,58312300.23,14.84,12.9,11.21,11.43,11.39,1.92,18.42,-275.65,3.13,642500000.0,334581875.0,0.0,0.39,109.62,118.17
16,837212,智新电子,9.38,12.61,1.05,72086.0,64227509.93,16.93,9.53,8.12,8.5,8.33,1.87,13.82,54.84,2.48,995218000.0,489415570.0,0.0,0.21,89.88,38.14
17,300308,中际旭创,117.5,12.58,13.13,628438.0,7103915957.8,13.29,119.9,106.03,107.86,104.37,2.05,8.38,54.6,6.95,94332082965.0,88149129800.0,0.4,0.49,10.53,337.94
18,831010,凯添燃气,5.64,12.35,0.62,242320.0,138374872.09,20.72,6.21,5.17,5.35,5.02,2.68,15.04,22.23,2.08,1322580000.0,908988101.0,0.0,-1.23,62.07,55.37
19,430478,峆一药业,27.88,12.1,3.01,66103.0,177352727.14,17.37,28.94,24.62,25.2,24.87,1.44,34.4,20.88,2.5,1119591100.0,535784569.0,0.18,1.71,69.38,8.74
20,871970,大禹生物,5.8,11.97,0.62,99566.0,54374446.38,16.6,5.88,5.02,5.18,5.18,2.02,18.89,-76.96,2.06,645890320.0,305685520.0,0.17,0.0,72.11,55.5
21,300570,太辰光,42.59,11.81,4.5,526975.0,2150996460.07,14.91,44.0,38.32,38.77,38.09,2.32,27.18,70.09,7.33,9795563712.0,8256065537.0,-0.02,-0.02,26.34,205.09
22,688702,盛科通信-U,49.18,11.07,4.9,60453.0,289681998.0,15.04,50.66,44.0,44.27,44.28,3.73,16.25,347.75,8.32,20163800000.0,1829336755.0,0.12,0.24,15.28,15.28
23,871981,晶赛科技,19.24,10.57,1.84,37795.0,70042833.2,16.78,20.0,17.08,17.08,17.4,1.66,10.17,-164.67,2.92,1471244320.0,714678535.0,0.0,-0.47,43.69,59.93
24,301330,熵基科技,35.47,10.19,3.28,158769.0,554627131.11,11.59,36.53,32.8,33.26,32.19,7.4,23.92,37.35,2.17,6905282149.0,2354226758.0,-0.08,0.08,5.57,44.66
25,000421,南京公用,6.33,10.09,0.58,208481.0,130767665.21,9.91,6.33,5.76,5.76,5.75,0.38,3.64,120.73,1.29,3660398042.0,3624855092.0,0.0,0.0,25.84,32.15
26,600678,四川金顶,8.09,10.07,0.74,1166697.0,934327648.0,5.31,8.09,7.7,8.09,7.35,5.52,33.43,-515.41,10.94,2823329100.0,2823329100.0,0.0,0.0,45.5,37.82
27,600956,新天绿能,8.53,10.06,0.78,282134.0,233134758.0,9.55,8.53,7.79,7.83,7.75,9.67,1.3,17.78,1.77,35715903913.0,18470891207.0,0.0,0.0,2.03,-9.74
28,600358,国旅联合,5.91,10.06,0.54,560674.0,316189774.0,13.59,5.91,5.18,5.37,5.37,1.53,11.1,1294.18,16.24,2984175661.0,2984175661.0,0.0,0.0,13.22,-14.1
29,002878,元隆雅图,20.52,10.03,1.87,274599.0,555565077.83,11.58,20.52,18.36,18.39,18.65,1.28,14.07,84.31,4.79,4579465657.0,4004472357.0,0.0,0.0,20.21,36.44
30,603038,华立股份,12.73,10.03,1.16,420233.0,517064863.0,10.72,12.73,11.49,12.73,11.57,7.05,20.33,55.1,1.93,2630968893.0,2630968893.0,0.0,0.0,26.79,78.79
31,002693,双成药业,8.78,10.03,0.8,440145.0,364135758.36,13.41,8.78,7.71,7.91,7.98,0.89,10.71,-1692.94,6.96,3658020970.0,3607137323.0,0.0,0.0,38.92,20.77
32,603386,骏亚科技,13.72,10.02,1.25,184702.0,247867722.0,9.86,13.72,12.49,12.5,12.47,0.93,5.66,40.61,2.94,4477145523.0,4477145523.0,0.0,0.0,17.16,36.79
33,002962,五方光电,17.9,10.02,1.63,725675.0,1215470378.3,13.83,17.9,15.65,16.25,16.27,2.22,34.69,88.11,2.9,5243533511.0,3744572833.0,0.0,0.0,41.95,78.64
34,603903,中持股份,11.97,10.02,1.09,314202.0,358802600.0,12.41,11.97,10.62,10.8,10.88,1.37,15.53,26.32,1.8,3056174176.0,2421575911.0,0.0,0.0,25.74,35.25
35,603598,引力传媒,19.0,10.02,1.73,868185.0,1504904384.0,19.8,19.0,15.58,16.5,17.27,1.2,32.41,108.42,28.15,5089395100.0,5089395100.0,0.0,0.0,90.76,104.74
36,600536,中国软件,39.0,10.01,3.55,571115.0,2201014316.0,8.46,39.0,36.0,36.0,35.45,2.99,6.83,-59.57,15.93,33530268564.0,32596633017.0,0.0,0.0,-6.02,-13.04
37,603938,三孚股份,20.33,10.01,1.85,182059.0,358579717.0,10.01,20.33,18.48,18.58,18.48,6.3,4.76,33.43,3.26,7778756024.0,7778756024.0,0.0,0.0,7.79,-16.85
38,003004,声迅股份,32.64,10.01,2.97,127977.0,407001918.46,8.22,32.64,30.2,31.36,29.67,2.7,18.7,-113.11,3.83,2671384668.0,2233852812.0,0.0,0.0,20.22,25.49
39,603660,苏州科达,8.03,10.0,0.73,79460.0,63806316.0,0.0,8.03,8.03,8.03,7.3,1.11,1.61,-9.35,4.2,4038299752.0,3968562414.0,0.0,0.0,25.86,54.42
40,603083,剑桥科技,43.12,10.0,3.92,433071.0,1799063828.0,9.87,43.12,39.25,39.65,39.2,1.68,16.62,72.09,5.37,11560685056.0,11232897165.0,0.0,0.0,-5.33,283.63
41,600302,标准股份,7.7,10.0,0.7,188512.0,139967261.0,10.0,7.7,7.0,7.14,7.0,1.75,5.45,-27.75,2.87,2664275491.0,2664275491.0,0.0,0.0,42.86,31.4
42,600218,全柴动力,10.89,10.0,0.99,943320.0,1009650933.0,10.0,10.89,9.9,9.9,9.9,2.59,22.86,48.06,1.51,4743683118.0,4493853711.0,0.0,0.0,28.27,26.63
43,000766,通化金马,23.66,10.0,2.15,821719.0,1882813940.77,10.18,23.66,21.47,21.47,21.51,0.92,8.51,1102.88,9.87,22867264768.0,22854854482.0,0.0,0.0,204.5,348.96
44,001331,胜通能源,20.8,9.99,1.89,91517.0,186356576.8,9.15,20.8,19.07,19.18,18.91,1.09,21.79,-49.48,2.34,3494400000.0,873600000.0,0.0,0.0,23.66,0.05
45,002990,盛视科技,32.91,9.99,2.99,42231.0,135143415.92,10.49,32.91,29.77,29.82,29.92,3.32,3.19,37.2,3.73,8427166221.0,4359601687.0,0.0,0.0,3.59,20.42
46,000988,华工科技,32.58,9.99,2.96,1013859.0,3237170716.36,9.66,32.58,29.72,29.72,29.62,2.81,10.09,30.27,3.66,32759278194.0,32742432705.0,0.0,0.0,6.82,99.75
47,603658,安图生物,57.13,9.99,5.19,115407.0,637138259.0,11.51,57.13,51.15,51.94,51.94,2.39,1.97,27.88,4.08,33493733985.0,33493733985.0,0.0,0.0,25.01,-6.42
48,603189,网达软件,20.37,9.99,1.85,609130.0,1220753703.0,9.18,20.37,18.67,20.37,18.52,2.28,22.6,-79.97,3.43,5490699869.0,5490699869.0,0.0,0.0,47.08,47.4
49,603398,沐邦高科,18.17,9.99,1.65,58136.0,102276641.0,10.23,18.17,16.48,16.48,16.52,3.03,1.7,292.04,8.5,6225668992.0,6225668992.0,0.0,0.0,-20.13,-35.48
50,002913,奥士康,32.27,9.99,2.93,52799.0,168508011.12,6.48,32.27,30.37,30.49,29.34,2.35,1.99,17.44,2.55,10241223464.0,8581281932.0,0.0,0.0,1.51,36.22
51,600405,动力源,6.39,9.98,0.58,935369.0,579680087.0,11.02,6.39,5.75,5.81,5.81,2.83,16.91,-26.97,4.52,3535430113.0,3535430113.0,0.0,0.0,18.55,10.75
52,600560,金自天正,16.2,9.98,1.47,193136.0,304860864.0,11.41,16.2,14.52,14.52,14.73,2.49,8.64,72.21,4.06,3623057100.0,3623057100.0,0.0,0.0,27.06,68.4
53,601138,工业富联,15.76,9.98,1.43,1492915.0,2266887919.0,10.19,15.76,14.3,14.36,14.33,2.19,0.75,17.41,2.36,313085670078.0,312548832233.0,0.0,0.0,-17.92,82.62
54,688301,奕瑞科技,245.0,9.98,22.23,18307.0,433442277.0,9.41,245.98,225.01,225.01,222.77,3.04,1.8,43.27,6.45,24975631485.0,24975631485.0,0.56,0.56,13.95,-24.61
55,603825,华扬联众,14.44,9.98,1.31,222729.0,310491089.0,11.96,14.44,12.87,13.03,13.13,2.86,8.79,-22.85,2.54,3658179811.0,3658179811.0,0.0,0.0,16.08,1.83
56,600375,汉马科技,7.28,9.97,0.66,851313.0,598763880.0,11.93,7.28,6.49,6.65,6.62,3.5,13.01,-27.89,201.1,4763412064.0,4763412064.0,0.0,0.0,7.37,14.65
57,837092,汉鑫科技,37.04,9.91,3.34,36354.0,131213355.74,22.67,40.0,32.36,33.18,33.7,0.96,14.72,56.3,4.66,1774067840.0,915024900.0,0.05,0.05,146.93,170.36
58,600715,文投控股,3.0,9.89,0.27,1505086.0,451269998.0,2.93,3.0,2.92,3.0,2.73,3.05,8.11,-30.42,7.95,5564560500.0,5564560500.0,0.0,0.0,38.25,23.97
59,688041,海光信息,80.34,9.81,7.18,987024.0,7764774982.0,11.07,82.0,73.9,73.99,73.16,2.8,11.21,155.33,10.35,186737322231.0,70743963922.0,-1.88,-1.66,38.33,100.45
60,836699,海达尔,16.3,9.03,1.35,38429.0,61553982.49,18.93,17.49,14.66,14.89,14.95,1.71,30.44,23.37,3.09,743692390.0,205792390.0,0.62,0.37,85.23,59.02
61,688535,华海诚科,102.11,9.0,8.43,53687.0,533583487.0,7.22,102.56,95.8,95.8,93.68,1.54,30.1,262.09,8.08,8239914816.0,1821314218.0,-0.02,0.01,16.3,193.42
62,839493,并行科技,57.0,8.99,4.7,35103.0,197620566.71,18.34,61.0,51.41,51.5,52.3,1.36,14.05,-47.9,10.27,3319110000.0,1424177376.0,-0.04,-0.33,40.74,40.74
63,688380,中微半导,25.0,8.89,2.04,95282.0,232080265.0,9.67,25.08,22.86,22.86,22.96,5.37,7.38,-1266.36,3.34,10009125000.0,3228518400.0,0.16,0.08,-2.87,-6.33
64,300463,迈克生物,16.75,8.84,1.36,330504.0,551260665.14,13.91,17.38,15.24,15.39,15.39,7.86,6.67,28.64,1.62,10258865633.0,8296426638.0,-0.42,-0.48,17.38,-1.18
65,688327,云从科技-UW,19.5,8.82,1.58,961219.0,1820549381.0,8.98,19.68,18.07,18.08,17.92,2.02,12.8,-37.8,11.21,20220306347.0,14649165746.0,0.62,0.57,30.7,78.24
66,002547,春兴精工,5.44,8.8,0.44,1396878.0,739530540.92,12.8,5.5,4.86,5.0,5.0,3.09,12.65,-114.85,13.76,6136630994.0,6005805783.0,0.0,-0.55,15.5,18.78
67,301205,联特科技,127.9,8.76,10.3,112537.0,1412587749.72,16.56,135.0,115.52,115.64,117.6,1.28,16.56,581.35,11.71,16594257600.0,8691864012.0,-0.06,0.37,41.01,510.79
68,834950,迅安科技,21.38,8.75,1.72,22995.0,47234009.81,11.7,21.5,19.2,19.8,19.66,1.51,19.16,17.81,3.91,1004860000.0,256560000.0,1.28,0.14,81.03,72.42
69,873001,纬达光电,10.0,8.7,0.8,106375.0,104422977.47,17.28,10.48,8.89,9.21,9.2,1.8,27.68,37.09,2.06,1536562040.0,384241510.0,0.1,-0.1,54.56,43.68
70,300545,联得装备,33.0,8.41,2.56,184309.0,615665718.02,15.14,35.5,30.89,30.89,30.44,2.63,16.47,34.44,3.72,5865601038.0,3693617235.0,0.0,0.0,26.87,109.79
71,688313,仕佳光子,14.08,8.31,1.08,312211.0,430319317.0,9.62,14.26,13.01,13.01,13.0,2.14,6.8,-175.29,5.56,6459936778.0,6459936778.0,0.07,0.57,8.56,56.44
72,688629,华丰科技,25.97,8.3,1.99,50132.0,127628834.0,9.3,26.21,23.98,23.99,23.98,1.98,7.71,226.16,8.15,11971983821.0,1688613575.0,-0.04,-0.12,10.32,180.45
73,301165,锐捷网络,42.19,8.26,3.22,99501.0,410260300.51,9.55,42.6,38.88,39.1,38.97,3.18,14.59,64.51,5.77,23971590901.0,2876590901.0,0.0,0.0,-3.48,26.66
74,838701,豪声电子,11.9,8.18,0.9,69034.0,80963767.15,10.82,12.36,11.17,11.55,11.0,1.69,35.22,37.58,2.17,1166200000.0,233251900.0,-0.17,0.0,60.59,208.29
75,301191,菲菱科思,102.01,8.06,7.61,52258.0,527187605.82,11.95,105.58,94.3,94.3,94.4,1.99,19.99,43.67,4.29,7073577420.0,2666482744.0,0.0,0.03,31.63,89.19
76,872392,佳合科技,12.27,8.01,0.91,33369.0,39381105.87,11.0,12.36,11.11,11.58,11.36,1.14,22.05,29.79,2.36,720249000.0,185674548.0,-0.65,0.16,102.48,61.45
77,832149,利尔达,6.35,7.99,0.47,184534.0,116855629.92,18.2,6.9,5.83,5.95,5.88,2.11,16.11,-1442.12,3.4,2677350500.0,727321653.0,-0.16,0.16,52.64,-28.09
78,301183,东田微,47.68,7.9,3.49,75903.0,357315481.38,9.78,48.5,44.18,44.18,44.19,2.49,16.47,-198.79,4.67,3814400000.0,2197475840.0,0.0,0.13,-7.06,115.65
79,688048,长光华芯,69.89,7.77,5.04,72842.0,501460914.0,10.53,71.23,64.4,64.5,64.85,2.28,7.41,-413.14,3.88,12320205216.0,6871790137.0,0.13,0.06,6.77,-5.75
80,830896,旺成科技,9.88,7.51,0.69,53775.0,50875092.4,11.21,9.95,8.92,9.38,9.19,0.98,21.12,22.67,2.54,1000095491.0,251554690.0,-0.2,0.61,107.13,26.67
81,688039,当虹科技,41.0,7.44,2.84,258294.0,1077105791.0,19.55,45.79,38.33,42.0,38.16,5.27,23.08,-35.79,3.44,4588593187.0,4588593187.0,0.27,1.23,28.73,52.42
82,688256,寒武纪-U,169.42,7.44,11.73,192010.0,3183505355.0,8.39,172.58,159.35,159.98,157.69,1.6,7.21,-65.53,12.15,70579431888.0,45142098772.0,1.85,1.86,21.99,210.52
83,870357,雅葆轩,11.56,7.43,0.8,32029.0,36127915.95,11.06,11.77,10.58,10.9,10.76,1.29,13.8,21.76,2.64,925724800.0,268209224.0,0.09,0.78,47.64,36.0
84,836395,朗鸿科技,10.62,7.38,0.73,42497.0,43981966.39,9.81,10.7,9.73,9.81,9.89,1.7,15.35,24.72,4.82,972367200.0,293944226.0,0.19,0.38,67.51,64.65
85,300814,中富电路,37.55,7.32,2.56,146277.0,545360237.09,8.23,38.28,35.4,35.4,34.99,2.07,28.8,169.97,5.84,6601139800.0,1907389800.0,-0.03,0.08,-3.42,109.78
86,300475,香农芯创,36.92,7.29,2.51,317430.0,1151359290.97,6.31,36.92,34.75,34.85,34.41,1.67,7.21,58.45,6.81,16893328118.0,16253689118.0,0.16,0.27,1.15,125.26
87,831167,鑫汇科,15.18,7.28,1.03,20005.0,29663408.52,11.8,15.7,14.03,14.28,14.15,1.28,9.9,31.12,3.0,758741044.0,306822608.0,-0.13,1.54,58.46,70.95
88,002463,沪电股份,22.42,7.22,1.51,669184.0,1473977465.38,10.0,23.0,20.91,20.92,20.91,3.17,3.51,33.67,4.68,42786365172.0,42762592081.0,0.13,0.18,14.5,90.81
89,301153,中科江南,73.59,7.21,4.95,45542.0,328726143.77,6.77,73.65,69.0,69.76,68.64,3.17,3.98,57.13,8.55,14305896000.0,8416595741.0,0.82,0.96,21.8,25.62
90,300913,兆龙互连,32.3,7.17,2.16,175478.0,558466910.47,10.62,33.0,29.8,29.8,30.14,2.62,26.9,89.13,8.02,8338876400.0,2106995150.0,0.03,0.28,-0.43,180.14
91,832662,方盛股份,14.58,7.13,0.97,45069.0,64692482.62,9.04,14.89,13.66,13.79,13.61,1.07,18.64,17.35,2.93,1276479029.0,352554416.0,0.07,0.62,59.34,123.28
92,832110,雷特科技,19.28,7.11,1.28,20595.0,38302656.9,9.89,19.48,17.7,17.88,18.0,1.66,17.12,23.06,2.24,751920000.0,231880560.0,0.0,1.8,48.08,23.91
93,836504,博迅生物,17.95,7.1,1.19,29855.0,52718186.13,11.93,18.5,16.5,16.56,16.76,1.29,27.18,38.05,4.28,777829145.0,197182545.0,0.17,-0.28,86.4,84.29
94,002876,三利谱,33.66,7.1,2.23,102441.0,342817712.34,10.18,34.5,31.3,31.39,31.43,2.93,6.89,75.18,2.49,5852966811.0,5007793866.0,0.0,-0.06,6.89,-7.02
95,838670,恒进感应,9.98,7.08,0.66,47581.0,45935893.8,9.87,9.98,9.06,9.06,9.32,1.5,7.21,56.06,3.04,1337320000.0,658708942.0,0.2,0.6,40.17,21.71
96,002281,光迅科技,31.74,7.05,2.09,991955.0,3102476816.16,9.85,32.6,29.68,29.9,29.65,1.34,13.13,45.68,3.12,25238154696.0,23988159384.0,-0.06,0.06,16.05,104.12
97,832471,美邦科技,9.72,7.05,0.64,32626.0,32720571.29,19.93,10.9,9.09,9.15,9.08,2.77,12.58,34.73,1.46,808704000.0,252177070.0,-0.21,-1.02,31.71,-50.86
98,688047,龙芯中科,125.55,7.01,8.22,182622.0,2260295777.0,11.34,129.9,116.6,117.4,117.33,1.75,6.56,-182.5,13.63,50345550000.0,34954969226.0,-1.91,-1.59,39.5,46.93
99,603696,安记食品,11.31,7.0,0.74,513411.0,585328494.0,13.25,11.63,10.23,10.43,10.57,2.08,21.83,69.89,4.79,2660112000.0,2660112000.0,-1.22,-1.39,20.58,5.01
100,688662,富信科技,38.96,6.86,2.5,40267.0,154953585.0,9.98,39.8,36.16,36.45,36.46,2.01,7.43,-223.36,5.01,3437830400.0,2112801969.0,-0.13,-0.1,12.12,48.53
101,870726,鸿智科技,19.5,6.85,1.25,20805.0,40039585.11,12.16,20.1,17.88,18.11,18.25,1.35,21.55,24.47,3.41,813913035.0,188217393.0,0.15,0.62,95.78,46.84
102,688668,鼎通科技,57.1,6.85,3.66,45592.0,258899506.0,11.08,58.93,53.01,53.41,53.44,1.25,9.79,79.81,3.28,5643712838.0,2658490065.0,0.18,0.11,12.65,-12.56
103,300757,罗博特科,82.18,6.8,5.23,72998.0,595554023.14,10.98,85.1,76.65,76.8,76.95,1.56,7.02,210.23,9.83,9071766869.0,8546720000.0,0.0,0.02,28.83,57.16
104,300832,新产业,75.75,6.77,4.8,154220.0,1149385629.28,14.09,79.7,69.7,70.96,70.95,4.14,2.21,37.62,8.38,59518197964.0,52903581234.0,-1.26,-1.14,26.86,53.22
105,688205,德科立,59.0,6.75,3.73,51251.0,298302083.0,8.88,60.09,55.18,55.29,55.27,1.75,10.53,67.22,2.77,5943897239.0,2872084246.0,0.17,-0.02,7.96,19.05
106,873122,中纺标,31.2,6.67,1.95,76515.0,234363256.8,25.5,34.73,27.27,29.0,29.25,1.2,58.67,82.67,8.59,2884037770.0,406926000.0,1.07,2.67,192.96,180.83
107,688097,博众精工,30.76,6.62,1.91,50560.0,152646816.0,8.15,30.86,28.51,28.51,28.85,2.06,5.44,44.9,3.46,13738885251.0,2857819781.0,1.92,1.72,19.27,7.55
108,300705,九典制药,36.96,6.48,2.25,154922.0,563829969.2,12.19,37.88,33.65,33.71,34.71,1.85,7.21,30.86,7.0,12756574982.0,7946153809.0,-0.08,0.74,81.35,53.62
109,837242,建邦科技,16.0,6.45,0.97,29074.0,45248369.77,7.85,16.0,14.82,15.1,15.03,1.2,8.56,14.86,2.13,994068000.0,543411600.0,0.25,0.57,68.24,108.06
110,300502,新易盛,54.2,6.32,3.22,1145413.0,6172538226.98,15.69,58.2,50.2,51.0,50.98,1.52,18.55,67.18,7.39,38477611209.0,33474888988.0,-1.08,-2.02,28.47,221.28
111,688351,微电生理-U,27.61,6.31,1.64,23474.0,63577053.0,7.05,27.61,25.78,25.79,25.97,1.31,1.92,845.94,7.68,12993266000.0,3369410674.0,1.02,1.17,52.37,4.31
112,002292,奥飞娱乐,9.66,6.27,0.57,2615502.0,2503215154.0,8.36,9.99,9.23,9.44,9.09,2.24,26.82,131.57,4.2,14284239073.0,9421365542.0,-0.1,-0.41,15.55,107.3
113,871634,新威凌,11.9,6.25,0.7,43901.0,50831705.04,8.75,11.99,11.01,11.19,11.2,1.3,28.33,39.63,3.13,741631800.0,184377648.0,0.93,2.15,63.69,58.67
114,688401,路维光电,31.8,6.25,1.87,59105.0,184342789.0,7.08,32.05,29.93,29.93,29.93,1.74,5.21,42.56,4.32,6148012296.0,3606111128.0,0.47,-0.31,-6.47,6.32
115,600777,新潮能源,2.97,6.07,0.17,7710883.0,2308231780.0,9.29,3.08,2.82,2.83,2.8,3.03,12.11,8.09,1.05,20197472600.0,18907472601.0,-0.34,0.0,14.67,36.24
116,688338,赛科希德,34.69,6.05,1.98,21093.0,73352994.0,11.86,36.38,32.5,32.71,32.71,2.38,3.31,31.44,2.34,3682079856.0,2209287460.0,-0.43,-0.17,12.96,37.77
117,688521,芯原股份,54.98,5.98,3.1,73169.0,395178214.0,4.59,55.15,52.77,52.83,51.88,2.73,1.5,-153.58,9.51,27485119535.0,26812602361.0,0.68,0.7,-14.83,24.76
118,688343,云天励飞-U,59.42,5.92,3.32,93177.0,545426564.0,7.42,60.31,56.15,56.55,56.1,2.76,11.39,-53.05,4.76,21102045642.0,4861801562.0,0.03,0.02,15.38,35.29
119,871857,泓禧科技,11.65,5.91,0.65,19635.0,22495035.27,8.0,11.88,11.0,11.3,11.0,1.59,2.65,19.46,2.22,862183321.0,862183321.0,0.17,0.0,42.94,35.78
120,300620,光库科技,52.82,5.81,2.9,289222.0,1509811720.28,8.73,54.28,49.92,49.92,49.92,1.37,11.94,208.14,7.7,12957306262.0,12796279210.0,0.67,0.65,25.34,110.69
121,301387,光大同创,68.44,5.8,3.75,27550.0,184780483.29,6.74,68.96,64.6,65.57,64.69,1.72,15.65,44.66,3.17,5201440000.0,1205119307.0,0.01,0.35,41.43,18.78
122,688322,奥比中光-UW,35.45,5.79,1.94,75829.0,265032624.0,6.92,35.89,33.57,33.8,33.51,1.96,3.46,-55.41,4.57,14180035450.0,7759772448.0,1.9,1.75,11.3,64.5
123,688031,星环科技-U,72.38,5.77,3.95,56384.0,403739041.0,6.17,73.4,69.18,69.2,68.43,1.44,6.51,-24.41,5.96,8746548882.0,6264112117.0,0.53,0.56,-8.62,-20.46
124,002902,铭普光磁,25.63,5.73,1.39,247479.0,627184325.51,8.66,26.2,24.1,24.1,24.24,2.27,16.55,-110.65,5.16,5421257600.0,3831408273.0,0.0,0.23,12.17,104.39
125,688575,亚辉龙,25.37,5.71,1.37,99473.0,251260480.0,9.58,26.2,23.9,23.98,24.0,2.7,3.72,37.93,5.8,14413435267.0,6791685897.0,0.32,0.04,49.15,32.14
126,002156,通富微电,23.44,5.68,1.26,766989.0,1797788223.73,5.32,24.12,22.94,23.28,22.18,1.88,5.06,-418.72,2.59,35544578416.0,35540516498.0,0.04,0.04,15.52,43.1
127,688192,迪哲医药-U,52.35,5.63,2.79,53110.0,271651041.0,7.36,52.35,48.7,49.17,49.56,3.17,4.49,-19.33,19.74,21366724220.0,6194836203.0,1.49,1.53,67.47,32.97
128,836871,派特尔,7.7,5.62,0.41,44901.0,34085062.42,9.74,7.98,7.27,7.3,7.29,1.74,11.34,26.81,2.39,567779643.0,304936108.0,0.0,-0.52,71.88,62.45
129,000977,浪潮信息,36.08,5.59,1.91,1435041.0,5158717939.18,7.73,36.85,34.21,34.21,34.17,1.85,9.76,50.64,3.13,53114635202.0,53033533279.0,-0.03,-0.06,-0.77,68.83
130,000526,学大教育,46.7,5.54,2.45,82956.0,378247514.92,10.19,47.99,43.48,43.75,44.25,1.14,7.04,36.55,10.13,5703223910.0,5499518510.0,0.02,0.15,67.02,161.62
131,870204,沪江材料,12.98,5.53,0.68,72254.0,89374571.38,10.41,13.0,11.72,12.17,12.3,1.24,18.83,33.66,2.08,941427394.0,498140508.0,0.23,1.17,90.6,129.33
132,837344,三元基因,21.58,5.53,1.13,21007.0,44573364.52,9.14,21.9,20.03,20.2,20.45,1.67,1.85,180.15,4.46,2628659800.0,2450641978.0,0.05,-0.37,40.59,26.79
133,600476,湘邮科技,19.64,5.48,1.02,378592.0,762318885.0,10.96,20.48,18.44,18.48,18.62,3.27,23.5,-102.08,30.76,3163414800.0,3163414800.0,-0.05,-0.1,26.22,15.94
134,873679,前进科技,23.8,5.45,1.23,28131.0,65337846.36,7.27,23.95,22.31,22.7,22.57,1.22,22.01,24.41,2.5,1281392000.0,304116400.0,0.21,-0.25,70.12,70.12
135,603230,内蒙新华,15.03,5.4,0.77,388395.0,577042295.0,14.94,15.69,13.56,14.15,14.26,4.13,43.44,12.1,2.06,5313450690.0,1343697030.0,0.0,-0.27,25.25,38.14
136,688102,斯瑞新材,14.06,5.4,0.72,66661.0,92457725.0,5.7,14.12,13.36,13.36,13.34,2.15,2.08,86.29,7.64,7873796840.0,4497342758.0,-0.35,-0.28,18.95,19.97
137,831906,舜宇精工,18.55,5.34,0.94,49621.0,89583459.74,8.35,18.68,17.21,17.52,17.61,0.91,24.85,33.04,2.27,1205193500.0,370339620.0,-0.16,0.82,71.6,24.92
